,address,lat,lng,food_500,convenience_500,hospital_500,sports_500,tour_500,restroom_500,culture_500,dong,s_dong,population,population_day,pop_of_convenience,pop_of_restroom,pop_of_sports,pop_of_tour,pop_of_food,pop_of_culture,pop_of_hospital
33,대한민국 서울특별시 강남구 자곡동 655,37.47406140644309,127.1042043549486,61,11,14,2,0,2,0,강남,세곡동,326.2406,10.87469,1.0115230870948966,0.18391328856270847,0.18391328856270847,0.0,5.6093553011626085,0.0,1.2873930199389592
34,대한민국 서울특별시 강남구 율현동 194-7,37.47300015466303,127.10810865416374,63,9,14,3,0,3,0,강남,세곡동,326.2406,10.87469,0.8276097985321881,0.2758699328440627,0.2758699328440627,0.0,5.793268589725317,0.0,1.2873930199389592
35,대한민국 서울특별시 강남구 자곡동 56-63,37.47434962586439,127.11129942804388,21,5,6,4,0,1,0,자곡,세곡동,326.2406,10.87469,0.4597832214067712,0.09195664428135424,0.36782657712541694,0.0,1.931089529908439,0.0,0.5517398656881254
36,대한민국 서울특별시 강남구 청담동 81번지 효성빌라 4동 102호,37.52576082536598,127.0436888199512,687,21,211,47,5,6,4,청담,청담동,308.09127,10.26971,2.044848393966334,0.5842423982760955,4.576565453162748,0.48686866523007954,66.89575460261293,0.3894949321840636,20.545857672709356
37,대한민국 서울특별시 강남보건소.강남구립국제교육원,37.51541076689559,127.04210253461744,340,25,145,51,9,4,1,강남,삼성동,583.99537,19.46651,1.284256910971715,0.2054811057554744,2.6198840983822986,0.4623324879498174,17.465893989215324,0.0513702764388686,7.448690083635947
38,대한민국 서울특별시 강남구 도곡동 467-6,37.48836136714621,127.05157334833532,70,12,43,13,0,4,1,도곡,도곡동,474.15568,15.80519,0.7592442735582426,0.2530814245194142,0.8225146296880962,0.0,4.4289249290897486,0.06327035612985354,2.7206253135837026
39,대한민국 서울특별시 강남구 세곡동 468-41,37.46440949577999,127.09285016358534,2,1,0,0,0,0,0,세곡,세곡동,326.2406,10.87469,0.09195664428135424,0.0,0.0,0.0,0.18391328856270847,0.0,0.0
40,대한민국 서울특별시 강남구 신사동 505-2,37.5203359755468,127.01914789647108,593,20,194,23,11,6,5,강남,신사동,264.60904,8.8203,2.267496570411437,0.6802489711234312,2.6076210559731527,1.2471231137262906,67.23127331269912,0.5668741426028593,21.99471673299094
41,대한민국 서울특별시 강남구 세곡동 508-4,37.46387036522908,127.1002717197222,47,5,27,8,0,0,0,강남,세곡동,326.2406,10.87469,0.4597832214067712,0.0,0.7356531542508339,0.0,4.321962281223649,0.0,2.482829395596564
42,대한민국 서울특별시 강남구 세곡동 74-3,37.4639222083792,127.11082875250192,16,0,2,2,0,2,0,세곡,세곡동,326.2406,10.87469,0.0,0.18391328856270847,0.18391328856270847,0.0,1.4713063085016678,0.0,0.18391328856270847
43,대한민국 서울특별시 강남구 개포로 623-1,37.49508577359065,127.0787824041361,43,11,39,18,0,9,0,강남,개포동,407.63892,13.58797,0.8095396148210513,0.6623505939444965,1.324701187888993,0.0,3.1645639488459274,0.0,2.870185907092818
44,대한민국 서울특별시 강남구 압구정동 456-1,37.53151340419186,127.03041343727428,76,7,74,21,0,7,1,강남,압구정동,311.07504,10.36917,0.6750781402947391,0.6750781402947391,2.0252344208842175,0.0,7.32941980891431,0.09643973432781987,7.13654034025867
45,대한민국 서울특별시 강남구 봉은사로22길 66,37.50277702256264,127.0296573596754,656,39,263,29,27,24,2,역삼,역삼동,1170.121,39.00403,0.9998966773433412,0.6153210322112869,0.7435129139219716,0.6922361612376977,16.81877488044184,0.05127675268427391,6.742892977982018
46,대한민국 서울특별시 강남구 개포로 625,37.49618949492324,127.082350345149,49,7,5,8,2,6,0,일원,일원동,400.22973,13.34099,0.5246986917762475,0.44974173580821214,0.5996556477442828,0.1499139119360707,3.6728908424337323,0.0,0.3747847798401768
47,대한민국 서울특별시 강남구 개포동 1280,37.4815262821297,127.06270562396648,47,2,22,12,1,5,0,개포,개포동,407.63892,13.58797,0.14718902087655478,0.3679725521913869,0.8831341252593287,0.07359451043827739,3.4589419905990373,0.0,1.6190792296421026
48,대한민국 서울특별시 강남구 역삼동 648-20,37.49974755693318,127.03201383677484,874,60,302,62,23,14,2,역삼,역삼동,1170.121,39.00403,1.5383025805282171,0.35893726878991733,1.589579333212491,0.5896826558691499,22.4079409230277,0.05127675268427391,7.74278965532536
49,대한민국 서울특별시 강남구 대치2동 1012-114,37.499347257161695,127.06059603266128,255,29,83,53,1,2,1,대치,대치동,862.82873,28.76095,1.0083116169667552,0.06953873220460381,1.8427764034220009,0.034769366102301906,8.866188356086985,0.034769366102301906,2.885857386491058
50,대한민국 서울특별시 강남구 봉은사로 531,37.51436994435281,127.05735747774632,314,21,56,27,8,5,0,삼성,삼성동,583.99537,19.46651,1.0787758052162406,0.256851382194343,1.3869974638494522,0.4109622115109488,16.13026680180474,0.0,2.8767354805766416
51,대한민국 서울특별시 강남구 자곡동 647,37.4719025799107,127.1023170153356,58,10,10,1,0,0,0,자곡,세곡동,326.2406,10.87469,0.9195664428135424,0.0,0.09195664428135424,0.0,5.333485368318546,0.0,0.9195664428135424
52,대한민국 서울특별시 강남구 대치동 503,37.49077415826872,127.05913882107542,78,7,75,16,0,6,0,대치,대치동,862.82873,28.76095,0.24338556271611334,0.20861619661381142,0.5563098576368305,0.0,2.7120105559795484,0.0,2.6077024576726426
53,대한민국 서울특별시 강남구 압구정동 409,37.52367117656519,127.0207312843296,385,14,58,28,13,6,3,압구,압구정동,311.07504,10.36917,1.3501562805894782,0.5786384059669192,2.7003125611789565,1.2537165462616584,37.12929771621065,0.2893192029834596,5.593504591013552
54,대한민국 서울특별시 강남구 자곡동 164,37.48143409683292,127.10968377198463,3,0,0,1,0,1,0,자곡,세곡동,326.2406,10.87469,0.0,0.09195664428135424,0.09195664428135424,0.0,0.2758699328440627,0.0,0.0
55,"608, 4 선경아파트 삼성로 강남구 서울특별시 대한민국",37.49282903283199,127.06206406363744,83,11,105,23,0,4,1,대치,대치동,862.82873,28.76095,0.38246302712532093,0.13907746440920762,0.7996954203529438,0.0,2.885857386491058,0.034769366102301906,3.6507834407417
56,대한민국 서울특별시 강남구 역삼동 728-19,37.49775374152147,127.04045587690874,473,47,92,56,29,7,2,역삼,역삼동,1170.121,39.00403,1.205003688080437,0.17946863439495866,1.4357490751596693,0.7435129139219716,12.126952009830779,0.05127675268427391,2.3587306234765997
57,대한민국 서울특별시 강남구 율현동 산29,37.466321678957776,127.1059724000622,47,4,23,10,0,3,0,강남,세곡동,326.2406,10.87469,0.36782657712541694,0.2758699328440627,0.9195664428135424,0.0,4.321962281223649,0.0,2.1150028184711474
58,대한민국 서울특별시 강남구청.강남세무서,37.51835921866592,127.04781646999784,132,21,106,43,4,6,0,삼성,삼성동,583.99537,19.46651,1.0787758052162406,0.3082216586332116,2.20892188687135,0.2054811057554744,6.780876489930655,0.0,5.445249302520072
59,대한민국 서울특별시 강남구 삼성동 4-2,37.51788428072906,127.04549439383204,237,24,178,60,6,7,0,삼성,삼성동,583.99537,19.46651,1.2328866345328464,0.3595919350720802,3.082216586332116,0.3082216586332116,12.174755516011858,0.0,9.143909206118611
60,대한민국 서울특별시 강남구 삼성동 133-2,37.508404235612005,127.04819440392284,316,28,114,27,12,6,4,삼성,삼성동,583.99537,19.46651,1.4383677402883208,0.3082216586332116,1.3869974638494522,0.6164433172664232,16.233007354682478,0.2054811057554744,5.8562115140310205
61,대한민국 서울특별시 강남구 역삼동 807-36,37.49588809092528,127.04597777778696,174,27,83,36,2,4,0,역삼,역삼동,1170.121,39.00403,0.6922361612376977,0.10255350536854782,0.9229815483169304,0.05127675268427391,4.46107748353183,0.0,2.1279852363973673
62,대한민국 서울특별시 강남구 대치동 27-11,37.49867717625461,127.0740028247267,8,6,6,6,1,7,0,대치,대치동,862.82873,28.76095,0.20861619661381142,0.24338556271611334,0.20861619661381142,0.034769366102301906,0.27815492881841525,0.0,0.20861619661381142
63,대한민국 서울특별시 강남구 테헤란로57길 48,37.50722423417248,127.04559670125607,477,38,138,44,12,6,4,역삼,역삼동,1170.121,39.00403,0.9742583010012043,0.15383025805282172,1.128088559054026,0.30766051610564343,12.229505515199326,0.10255350536854782,3.5380959352148995
64,대한민국 서울특별시 강남구 도곡동 453-16,37.48152576871376,127.0447864858552,225,15,51,28,0,11,0,도곡,도곡동,474.15568,15.80519,0.9490553419478033,0.6959739174283891,1.7715699716358995,0.0,14.23583012921705,0.0,3.226788162622531
65,대한민국 서울특별시 강남구 밤고개로27길 9-15,37.47114791163568,127.10904057678398,30,4,6,3,0,2,0,강남,세곡동,326.2406,10.87469,0.36782657712541694,0.18391328856270847,0.2758699328440627,0.0,2.758699328440627,0.0,0.5517398656881254
66,대한민국 서울특별시 강남구 삼성동 54-2,37.51862163500055,127.05298595773506,112,17,84,26,6,3,0,강남,삼성동,583.99537,19.46651,0.8732946994607662,0.1541108293166058,1.3356271874105836,0.3082216586332116,5.753470961153283,0.0,4.3151032208649625
67,대한민국 서울특별시 강남구 개포동 1280-3,37.48260594420962,127.06471337321162,45,3,25,13,1,4,0,개포,개포동,407.63892,13.58797,0.22078353131483217,0.29437804175310955,0.956728635697606,0.07359451043827739,3.3117529697224826,0.0,1.8398627609569347
68,대한민국 서울특별시 강남구 개포동 186-13,37.48881924829048,127.06666240539406,42,4,34,17,0,6,0,개포,개포동,407.63892,13.58797,0.29437804175310955,0.44156706262966433,1.2511066774507156,0.0,3.09096943840765,0.0,2.502213354901431
69,대한민국 서울특별시 강남구 역삼동 743-14,37.497127225367606,127.03520065403524,838,53,148,87,17,11,4,역삼,역삼동,1170.121,39.00403,1.3588339461332586,0.2820221397635065,2.230538741765915,0.43585239781632823,21.484959374710765,0.10255350536854782,3.794479698636269
70,대한민국 서울특별시 푸른마을아파트앞,37.48343310338186,127.08055257828772,16,7,26,8,0,5,1,일원,일원동,400.22973,13.34099,0.5246986917762475,0.3747847798401768,0.5996556477442828,0.0,1.1993112954885656,0.07495695596803535,1.9488808551689194
71,대한민국 서울특별시 강남구 도곡동 454-10,37.48281028303377,127.04661603199288,201,14,52,26,0,7,0,도곡,도곡동,474.15568,15.80519,0.8857849858179497,0.44289249290897487,1.6450292593761924,0.0,12.717341582100563,0.0,3.2900585187523848
72,대한민국 서울특별시 개포동 14-5번지 SH공사 14동 5호 SH공사 으뜸어린이집 강남구 서울특별시 KR,37.49407098132823,127.07875448598398,72,11,62,21,0,10,0,개포,개포동,407.63892,13.58797,0.8095396148210513,0.7359451043827738,1.545484719203825,0.0,5.298804751555972,0.0,4.562859647173198
73,대한민국 서울특별시 강남구 율현동 106-4,37.47074871669759,127.11786155008978,9,1,0,1,0,2,0,강남,세곡동,326.2406,10.87469,0.09195664428135424,0.18391328856270847,0.09195664428135424,0.0,0.8276097985321881,0.0,0.0
74,대한민국 서울특별시 강남구 대치동 943-19,37.507468516252096,127.05891048858877,654,37,121,54,17,10,3,강남,대치동,862.82873,28.76095,1.2864665457851705,0.347693661023019,1.8775457695243027,0.5910792237391324,22.739165430905445,0.10430809830690571,4.20709329837853
75,대한민국 서울특별시 강남구 자곡동 414,37.47476260632176,127.10233842250936,58,10,10,1,0,2,0,자곡,세곡동,326.2406,10.87469,0.9195664428135424,0.18391328856270847,0.09195664428135424,0.0,5.333485368318546,0.0,0.9195664428135424
76,대한민국 서울특별시 강남구 청담동 57,37.52364530999504,127.0514310187552,329,24,90,51,13,3,1,청담,청담동,308.09127,10.26971,2.336969593104382,0.29212119913804774,4.966060385346811,1.2658585295982068,32.03595817213923,0.0973737330460159,8.763635974141431
77,대한민국 서울특별시 강남구 남부순환로 2912,37.49032635379135,127.0565939136403,75,7,48,14,0,5,0,대치,대치동,862.82873,28.76095,0.24338556271611334,0.1738468305115095,0.48677112543222667,0.0,2.6077024576726426,0.0,1.6689295729104914
78,대한민국 서울특별시 강남구 압구정동 456,37.529565719271176,127.02927748102424,221,14,221,33,4,10,1,압구,압구정동,311.07504,10.36917,1.3501562805894782,0.9643973432781987,3.182511232818056,0.38575893731127947,21.31318128644819,0.09643973432781987,21.31318128644819
79,대한민국 서울특별시 강남구 테헤란로22길 13,37.49905374426525,127.0354007599416,775,63,162,88,33,12,3,역삼,역삼동,1170.121,39.00403,1.615217709554628,0.30766051610564343,2.256177118108052,0.8460664192905195,19.869741665156138,0.07691512902641086,4.153416967426186
80,대한민국 서울특별시 강남구 대치동 1013-5,37.49557939420141,127.05514044994256,210,28,153,37,1,4,0,대치,대치동,862.82873,28.76095,0.9735422508644533,0.13907746440920762,1.2864665457851705,0.034769366102301906,7.3015668814834,0.0,5.3197130136521915
81,대한민국 서울특별시 강남구 세곡동 43-13,37.46291612620392,127.11495917012364,0,0,0,0,0,0,0,세곡,세곡동,326.2406,10.87469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,대한민국 서울특별시 강남구 대치동 511-1,37.49556147730515,127.06667641099698,90,13,82,27,0,6,2,대치,대치동,862.82873,28.76095,0.45200175932992476,0.20861619661381142,0.9387728847621514,0.0,3.1292429492071716,0.06953873220460381,2.8510880203887563
83,대한민국 서울특별시 강남구 논현로 406,37.49644200230762,127.03907659352916,480,43,86,64,20,5,2,강남,역삼동,1170.121,39.00403,1.102450182711889,0.12819188171068477,1.6408560858967651,0.5127675268427391,12.306420644225737,0.05127675268427391,2.204900365423778
84,대한민국 서울특별시 강남구 학동로43길 18,37.51736045445396,127.03754547840606,490,25,142,47,4,8,0,강남,논현동,644.65914,21.48864,1.1634054086252086,0.3722897307600667,2.187202168215392,0.18614486538003336,22.802746009054086,0.0,6.608142720991184
85,대한민국 서울특별시 강남구 역삼동 741-20,37.49716354189508,127.0345847514518,871,55,166,89,20,11,4,역삼,역삼동,1170.121,39.00403,1.4101106988175325,0.2820221397635065,2.2818154944501887,0.5127675268427391,22.331025794001288,0.10255350536854782,4.2559704727947345
86,대한민국 서울특별시 강남구 자곡동 산1-4,37.48322002152455,127.10335185296958,58,2,17,12,0,3,0,강남,수서동,164.57392,5.4858,0.3645776368077582,0.5468664552116373,2.1874658208465494,0.0,10.572751467424988,0.0,3.0989099128659445
87,대한민국 서울특별시 강남구 일원동 734,37.481940714001695,127.08056132648623,13,5,24,7,0,5,1,일원,일원동,400.22973,13.34099,0.3747847798401768,0.3747847798401768,0.5246986917762475,0.0,0.9744404275844597,0.07495695596803535,1.7989669432328486
88,대한민국 서울특별시 강남구 압구정동 387,37.52680841068166,127.02038836802924,99,7,38,21,2,6,1,압구,압구정동,311.07504,10.36917,0.6750781402947391,0.5786384059669192,2.0252344208842175,0.19287946865563974,9.547533698454167,0.09643973432781987,3.664709904457155
89,대한민국 서울특별시 강남구 청담동 도산대로94길 19,37.52408099926351,127.05146872542606,311,22,72,48,13,3,1,청담,청담동,308.09127,10.26971,2.14222212701235,0.29212119913804774,4.673939186208764,1.2658585295982068,30.283230977310946,0.0973737330460159,7.010908779313145
90,대한민국 서울특별시 강남구 개포로17길 9-4,37.47930658291001,127.04625199484522,164,13,46,20,2,12,0,강남,개포동,407.63892,13.58797,0.956728635697606,0.8831341252593287,1.4718902087655477,0.14718902087655478,12.06949971187749,0.0,3.38534748016076
91,대한민국 서울특별시 강남구 개포로130길 18,37.49399099574741,127.08410648808436,135,11,48,22,3,6,0,일원,일원동,400.22973,13.34099,0.824526515648389,0.44974173580821214,1.649053031296778,0.22487086790410607,10.119189055684773,0.0,3.597933886465697
92,대한민국 서울특별시 강남구 일원동 740,37.49434392321101,127.09103114521255,16,3,21,4,1,3,0,일원,일원동,400.22973,13.34099,0.22487086790410607,0.22487086790410607,0.2998278238721414,0.07495695596803535,1.1993112954885656,0.0,1.5740960753287425
93,대한민국 서울특별시 강남구 신사동 567-37,37.522809058103725,127.02575248464272,695,31,461,58,21,3,5,신사,신사동,264.60904,8.8203,3.514619684137728,0.3401244855617156,6.575740054193169,2.380871398932009,78.79550582179745,0.5668741426028593,52.265795947983634
94,대한민국 서울특별시 강남구 언주로149길 5-4,37.52016311570675,127.03351598577709,562,24,106,33,11,6,3,논현,논현동,644.65914,21.48864,1.1168691922802,0.27921729807005,1.5356951393852751,0.5118983797950917,26.153353585894685,0.139608649035025,4.932838932570884
95,대한민국 서울특별시 강남구 역삼동 705-16,37.50535684388028,127.04769986276072,571,41,163,49,16,4,2,강남,역삼동,1170.121,39.00403,1.051173430027615,0.10255350536854782,1.2562804407647108,0.4102140214741913,14.6395128913602,0.05127675268427391,4.179055343768323
96,대한민국 서울특별시 강남구 역삼동 805-12,37.50147378980176,127.04370311154857,538,48,90,58,50,4,2,강남,역삼동,1170.121,39.00403,1.2306420644225737,0.10255350536854782,1.4870258278439432,1.2819188171068476,13.79344647206968,0.05127675268427391,2.307453870792326
97,대한민국 서울특별시 강남구 도곡동 145-45,37.4932113756076,127.04619458540428,90,15,48,22,2,6,0,도곡,도곡동,474.15568,15.80519,0.9490553419478033,0.3796221367791213,1.3919478348567782,0.1265407122597071,5.694332051686819,0.0,3.0369770942329706
98,대한민국 서울특별시 강남구 개포동 156-18,37.48628056393405,127.0611746038756,43,2,15,11,0,4,0,개포,개포동,407.63892,13.58797,0.14718902087655478,0.29437804175310955,0.8095396148210513,0.0,3.1645639488459274,0.0,1.1039176565741609
99,대한민국 서울특별시 강남구 역삼2동 778-38,37.4959514317038,127.04473944895304,224,26,88,42,3,6,0,역삼,역삼동,1170.121,39.00403,0.6665977848955608,0.15383025805282172,1.076811806369752,0.07691512902641086,5.742996300638677,0.0,2.256177118108052
100,대한민국 서울특별시 강남구 대치동 1012-109,37.5026235531665,127.06819234660657,67,8,9,14,0,2,1,강남,대치동,862.82873,28.76095,0.27815492881841525,0.06953873220460381,0.48677112543222667,0.0,2.329547528854228,0.034769366102301906,0.31292429492071716
101,대한민국 서울특별시 강남구 개포동 660-2,37.48187338179876,127.0564901546546,48,7,27,11,0,7,0,강남,개포동,407.63892,13.58797,0.5151615730679417,0.5151615730679417,0.8095396148210513,0.0,3.5325365010373146,0.0,1.9870517818334894
102,대한민국 서울특별시 강남구 일원동 4-36,37.49469831097012,127.08820758210555,46,6,21,9,3,4,0,강남,일원동,400.22973,13.34099,0.44974173580821214,0.2998278238721414,0.6746126037123182,0.22487086790410607,3.4480199745296263,0.0,1.5740960753287425
103,대한민국 서울특별시 강남구 신사동 647-5,37.52535438638186,127.0362542316381,1009,30,277,55,4,10,7,신사,신사동,264.60904,8.8203,3.401244855617156,1.1337482852057186,6.235615568631453,0.4534993140822875,114.39520197725702,0.7936237996440031,31.404827500198408
104,대한민국 서울특별시 강남구 논현동 211-15,37.51365126844458,127.0348679621845,417,24,91,61,8,8,0,논현,논현동,644.65914,21.48864,1.1168691922802,0.3722897307600667,2.8387091970455085,0.3722897307600667,19.405602215868477,0.0,4.234795687395759
105,대한민국 서울특별시 강남구 영동대로129길 12,37.51881350005486,127.05613275554424,118,14,38,24,5,6,0,삼성,삼성동,583.99537,19.46651,0.7191838701441604,0.3082216586332116,1.2328866345328464,0.256851382194343,6.061692619786495,0.0,1.9520705046770068
